Title,Url,Area of Property,Age
"3 BHK Flat In Gangotri Grandeur, For Sale In Kormanagla",https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-kormanagla-bangalore/8a9fd28286533e430186538d9b0430b8/detail,"2,090 sqft",5-10 years
"4 BHK Apartment In Prestige Oakwood, Koramangala For Sale In Koramangala",https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fd7828803d4c80188045201764444/detail,"2,055 sqft",>10 years
3 BHK Flat In Aishwarya Apartments - 1 For Sale In Koramangala,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f9382781a519001781adfad9c3abe/detail,"1,400 sqft",>10 years
3 BHK Apartment In Wild Grass Apartments For Sale In Koramangala,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f97a876943d2501769483bf8114e9/detail,"1,835 sqft",5-10 years
3 BHK Apartment In G Corp Residences For Sale In Koramangala,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9ffe8387c25ca60187c2b213163178/detail,"1,647 sqft",Newly Constructed
3 BHK Apartment In National Games Housing Complex For Sale In Koramangala,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f9d827bd97646017bd9e86862347f/detail,"2,000 sqft",>10 years
3 BHK Apartment In Kristal Sunstone For Sale In Koramangala,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f168287d19ea50187d1ac9fc907bd/detail,"1,350 sqft",>10 years
2 BHK Flat In Wild Grass Apartments For Sale In Koramangala,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fe6828785051101878575c40e4129/detail,"1,250 sqft",>10 years
2 BHK Apartment In Veracious Enrica For Sale In Ejipura,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-ejipura-bangalore/8a9fed82856134b20185615d78661673/detail,"1,485 sqft",>10 years
3 BHK Flat In Divya Jyothi Valley View Apartments For Sale In Koramangala,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9ff182862f31b701862f9a197143b0/detail,"1,650 sqft",>10 years
4 BHK Flat In Shriram Esquire For Sale In Koramangala 1st Block,https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-1st-block-bangalore/8a9f018287e1b70b0187e1c681c50607/detail,"2,110 sqft",Under Construction
2 BHK Apartment In Gem Regency For Sale In Koramangala,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fa082815be02501815c4f761f4d08/detail,"1,378 sqft",>10 years
3 BHK Apartment In Raheja Residency For Sale In Koramangala,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fd3d8842cd96201842d0f4a78258f/detail,"1,435 sqft",>10 years
2 BHK Flat In Vandana Grand For Sale In Koramangala,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fb8827e0c1568017e0c9f6fdc2185/detail,"1,425 sqft",>10 years
3 BHK Apartment In G Corp Residences For Sale In Koramangala,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f048286aff0940186b06374885ff8/detail,"1,915 sqft",Newly Constructed
4 BHK Flat In Pacifica Hamilton Towers For Sale In Koramangala,https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f0782866cfdfa01866da637e17bb2/detail,"3,200 sqft",Under Construction
3 BHK Flat In Pacifica Hamilton Towers For Sale In Koramangala,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f0582866cfe2301866da21e17784e/detail,"2,627 sqft",Under Construction
4 BHK Flat In Codename Koramangala For Sale In Koramangala,https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fef828539f09401853a18be1b1719/detail,"4,280 sqft",Under Construction
4+ BHK Flat In Codename Koramangala For Sale In Koramangala,https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-koramangala-bangalore/8a9feb828539ef0f01853a1babd51958/detail,"5,325 sqft",Under Construction
3 BHK Flat In Codename Koramangala For Sale In Koramangala,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fe1828539ef2d01853a13e96a14ca/detail,"2,285 sqft",Under Construction
2 BHK Flat In Vars Golden Gables For Sale In Koramangala,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f9b827671731f017671b9ad770dc7/detail,"1,315 sqft",>10 years
4+ BHK Flat In Sujatha Apartment For Sale In Koramangala,https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f05828731faa70187321c733b118c/detail,"4,000 sqft",5-10 years
"2 BHK Flat In Arpitha Apartments B Block, Koramangala For Sale In Koramangala St Block",https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-st-block-bangalore/8a9f0a82883377a401883389a0910a17/detail,"1,200 sqft",5-10 years
2 BHK Flat In Vandana Enclave For Sale In Hsr Layout,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in--hsr-layout--bangalore/8a9f0482869ca0c801869d48d29d00af/detail,"1,400 sqft",>10 years
4+ BHK Apartment In Wild Grass Apartments For Sale In Ejipura,https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-ejipura-bangalore/8a9fe1828359112e018359611b5d3e4a/detail,"3,535 sqft",>10 years
3 BHK Flat In Vandana Sarovara For Sale In Hsr Layout 5th Sector,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-hsr-layout-5th-sector-bangalore/8a9fb98278c49c090178c4c124330f5f/detail,"1,430 sqft",5-10 years
2 BHK Flat In Sunshine Apartment For Sale In Koramangala 1st Block,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-1st-block-bangalore/8a9fde8284fad9e20184fb2b334e4952/detail,"1,100 sqft",Newly Constructed
4+ BHK Flat For Sale In Mantri Classic,https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-mantri-classic-bangalore/8a9fbe828885dd100188864ccab4535b/detail,"2,520 sqft",>10 years
3 BHK Flat In Shriram Esquire For Sale In Koramangala 1st Block,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-1st-block-bangalore/8a9fea8287e1b6da0187e1c22a3903b4/detail,"1,755 sqft",Under Construction
2 BHK Flat In Malibu Exotica For Sale In Koramangala,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fab827daccfd5017dacf3125714a6/detail,"1,065 sqft",5-10 years
4 BHK Flat For Sale In Koramangala,https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fb8827f02a1e6017f02c540fc0f81/detail,"2,000 sqft",5-10 years
3 BHK Flat In Tranquility For Sale In S T Bed Layout,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-s-t-bed-layout-bangalore/8a9fc482810f458101810fbcd99c6201/detail,"1,475 sqft",>10 years
2 BHK Flat In Abhishek Apartment Koramangala For Sale In Koramangala 1st Block,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-1st-block-bangalore/8a9fa9837864555c017867418f256a97/detail,900 sqft,>10 years
2 BHK Flat In Balaji Splendor For Sale In Ejipura,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-ejipura-bangalore/ff808181645f9730016463e2c7867d5e/detail,"1,200 sqft",5-10 years
3 BHK Apartment In Zaanz Apartments For Sale In Koramangala,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fb0827d3d71ef017d3d8c1d6f0c63/detail,"1,398 sqft",>10 years
3 BHK Flat In Dnr Springleaf For Sale In Koramangala,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fbe8281e6eba70181e6f5ca770411/detail,"1,815 sqft",Under Construction
3 BHK Flat In Sipani Grande For Sale In Koramangala,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f1382883dc43d01883e16d8b94315/detail,"2,350 sqft",5-10 years
3 BHK Apartment In Vandana Jasmine Apartments For Sale In Hsr Layout 5th Sector,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-hsr-layout-5th-sector-bangalore/8a9fa38280075850018007628621021c/detail,"1,460 sqft",5-10 years
2 BHK Apartment In Dsr Elegance For Sale In Koramangala,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f0f82881ede2601881f12a5c81ef9/detail,"1,199 sqft",>10 years
3 BHK Apartment In National Games Housing Complex For Sale In Koramangala,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fbc8381417c1c0181420c3d696643/detail,"1,450 sqft",>10 years
4+ BHK Flat In Reddy Building For Sale In Koramangala,https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in--koramangala-bangalore/8a9fa7828452310201845266ae182176/detail,"9,200 sqft",>10 years
2 BHK Apartment In Vandana Nest For Sale In Hsr Layout 5th Sector,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-hsr-layout-5th-sector-bangalore/8a9fff84881ee69701881f1519e419ec/detail,"1,200 sqft",>10 years
4 BHK Flat In World One Koramangala For Sale In Koramangala,https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f0b838800009a018800111e6d0774/detail,"3,883 sqft",Newly Constructed
3 BHK Apartment In National Games Housing Complex For Sale In Koramangala,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f86ac6fc1eda1016fc226966a0ad2/detail,"1,726 sqft",>10 years
2 BHK Apartment In Vandana Grand For Sale In Koramangala,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fb8cc8809d154018809e7eea80ab3/detail,"1,200 sqft",5-10 years
4+ BHK Flat For Sale In Koramangala,https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fb2827c06faac017c0700a08402b7/detail,"6,000 sqft",>10 years
"2 BHK Flat In Dsr Elegance Apartment, Koramangala For Sale In Koramangala",https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fd282862aafde01862b1ad99a49c1/detail,"1,107 sqft",5-10 years
4 BHK Flat In Encore Primitus For Sale In Koramangala,https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-bangalore/ff8081816140cd29016141c56391035c/detail,"2,235 sqft",1-3 years
2 BHK Apartment In Arattukulam Divya Jyothi Koramangala For Sale In Ejipura,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-ejipura-bangalore/8a9f908387b366430187b370c84d0369/detail,"1,300 sqft",>10 years
3 BHK Apartment In Arihant Vilaya For Sale In Koramangala,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9ff9828663fac60186641fffdb1bba/detail,"1,984 sqft",Newly Constructed
